exon_id,n_samples,n_cpgs_tested,n_cpgs_selected,cv_method,rf_r2_cv,rf_r2_std,enet_r2_cv,enet_r2_std,enet_alpha,enet_l1_ratio,n_nonzero_coefs,best_r2_cv,best_model,species
FUN_025363_114910,39,5539274,100,5-fold,0.15747973445013486,0.698857733080941,0.4645893193854681,0.47447394531137954,0.6449289270386417,0.5,99,0.4645893193854681,ElasticNet,Apul
FUN_043418_205563,39,5539274,100,5-fold,0.05058755827563353,0.7082569077914529,0.14542059477217614,0.6997779064576892,5.851432108643008,0.1,99,0.14542059477217614,ElasticNet,Apul
FUN_043241_204026,39,5539274,100,5-fold,0.5454395654875321,0.20418829617050097,0.751338823595,0.16454253339741287,1.5127421355780286,0.5,93,0.751338823595,ElasticNet,Apul
FUN_023701_106827,39,5539274,100,5-fold,0.28556709349237364,0.8083567494991727,0.5551004899651404,0.45393078474243814,0.6476410859877254,0.5,94,0.5551004899651404,ElasticNet,Apul
FUN_007988_37992,39,5539274,100,5-fold,0.12858866879825967,0.8128909926061534,0.25166103043247334,0.5888208705872738,3.6988972417517023,0.1,100,0.25166103043247334,ElasticNet,Apul
FUN_016113_77148,39,5539274,100,5-fold,-0.7495982321333587,1.6997144920936162,0.012557793650682835,0.5322051825804693,3.355320612668493,0.1,99,0.012557793650682835,ElasticNet,Apul
FUN_024006_108086,39,5539274,100,5-fold,0.5212673731839101,0.38045131973986324,0.6675127762392679,0.22778039202135894,3.339353136844945,0.1,100,0.6675127762392679,ElasticNet,Apul
FUN_023183_103534,39,5539274,100,5-fold,0.4072423374563158,0.23113151295592696,0.66766696533911,0.3299509949071435,0.6502949553001998,0.5,92,0.66766696533911,ElasticNet,Apul
FUN_022623_99536,39,5539274,100,5-fold,0.6645117460296428,0.12078745405235992,0.31808209525500075,0.676636561803375,3.489367420371566,0.5,97,0.6645117460296428,RF,Apul
FUN_025367_114937,39,5539274,100,5-fold,0.5021295119621632,0.2335050359940352,0.672635635993531,0.2034764241328397,0.6646406129713954,0.5,96,0.672635635993531,ElasticNet,Apul
FUN_010883_51893,39,5539274,100,5-fold,0.7056974071207129,0.08537575716184076,0.7707609425642075,0.08389756103960357,0.7462035733530483,0.5,98,0.7707609425642075,ElasticNet,Apul
FUN_034485_158417,39,5539274,100,5-fold,0.5804088469015016,0.18923558323875447,0.702167976556803,0.14529203074901584,2.1950263573185937,0.5,96,0.702167976556803,ElasticNet,Apul
FUN_029418_135790,39,5539274,100,5-fold,0.5861707066045212,0.10435287161300763,0.8146692828816449,0.07371041482511835,1.2212479923588002,0.5,94,0.8146692828816449,ElasticNet,Apul
FUN_033911_154792,39,5539274,100,5-fold,0.6866087752343285,0.10476192497397138,0.6869561255080014,0.15053962795969028,1.6508622437615497,0.5,96,0.6869561255080014,ElasticNet,Apul
FUN_023416_105130,39,5539274,100,5-fold,0.4949395887543672,0.40583416794515165,0.7246673314533312,0.20956016889981807,2.130970293127675,0.5,98,0.7246673314533312,ElasticNet,Apul
FUN_022914_101570,39,5539274,100,5-fold,0.17400855442895963,1.1106292966203355,0.3805693871143411,0.7292692836546142,0.7355443780866697,0.5,94,0.3805693871143411,ElasticNet,Apul
FUN_004469_20534,39,5539274,100,5-fold,0.18671813905476467,0.5800666908322767,0.19918981465332983,0.8215763558337874,2.999781960476269,0.5,97,0.19918981465332983,ElasticNet,Apul
FUN_014717_69655,39,5539274,100,5-fold,-0.7011972433878219,0.9370366177742634,-0.20797771620989686,0.507312938391357,7.289050558587484,0.1,99,-0.20797771620989686,ElasticNet,Apul
FUN_004290_19133,39,5539274,100,5-fold,0.14232964172833254,0.6090597485654468,0.3983372313516433,0.3702987948806312,2.6837959394422817,0.5,94,0.3983372313516433,ElasticNet,Apul
FUN_008716_42904,39,5539274,100,5-fold,0.6368437934429189,0.15942150817143422,0.7557164836964103,0.15317583617634392,3.368520792108713,0.9,76,0.7557164836964103,ElasticNet,Apul
FUN_034817_159395,39,5539274,100,5-fold,0.5286830599241397,0.15533544787708334,0.6277390160141995,0.17915334414638331,3.444122523714078,0.1,100,0.6277390160141995,ElasticNet,Apul
FUN_032873_150599,39,5539274,100,5-fold,0.7496875211498114,0.09877727496682404,0.790296103515187,0.14375958387736051,0.6259685861895052,0.5,99,0.790296103515187,ElasticNet,Apul
FUN_001006_4477,39,5539274,100,5-fold,0.17239893832592232,0.8714753034916883,0.5607577827482325,0.29477799073612687,1.0847307208090409,0.5,95,0.5607577827482325,ElasticNet,Apul
FUN_002683_13454,39,5539274,100,5-fold,0.70651125669541,0.060675903988604785,0.6748866877492883,0.10869733339065464,3.3748898281167783,0.1,100,0.70651125669541,RF,Apul
FUN_041168_192613,39,5539274,100,5-fold,0.5485316499602106,0.15272207918702893,0.5951550838998081,0.1671209488332351,2.4398630699365245,0.5,93,0.5951550838998081,ElasticNet,Apul
FUN_023158_103348,39,5539274,100,5-fold,0.5913203427625914,0.1818437017509257,0.6360504006947256,0.16956133188216257,1.0976915628967023,0.5,87,0.6360504006947256,ElasticNet,Apul
FUN_025232_114015,39,5539274,100,5-fold,0.6616038906635353,0.24236315717723356,0.7593014372921767,0.06286054908408246,2.502943824528025,0.7,89,0.7593014372921767,ElasticNet,Apul
FUN_005032_24210,39,5539274,100,5-fold,-1.6665882972660018,3.9484521628138842,-2.2624837166906917,5.422678946991432,31.76620014757257,0.95,36,-1.6665882972660018,RF,Apul
FUN_014505_68116,39,5539274,100,5-fold,0.4555373061145619,0.3379603752172908,0.7716486103527002,0.17612523958153598,0.8886668663196862,0.5,95,0.7716486103527002,ElasticNet,Apul
FUN_014628_69007,39,5539274,100,5-fold,0.6604724605474703,0.14613247129137483,0.7292153750378798,0.1281959649942659,3.1726987488223486,0.5,96,0.7292153750378798,ElasticNet,Apul
FUN_004443_20286,39,5539274,100,5-fold,0.4104010664643997,0.3354121727925307,-0.35114062658322376,1.13213322212718,2.277242699460161,0.5,94,0.4104010664643997,RF,Apul
FUN_025536_115827,39,5539274,100,5-fold,-0.17274228482566192,1.6195604731341928,0.03715085675453604,1.1504320805188712,7.342889803497013,0.1,97,0.03715085675453604,ElasticNet,Apul
FUN_022056_95777,39,5539274,100,5-fold,0.3992089335861462,0.30412062220706343,0.5940110186739986,0.1168384887324719,3.28020362717468,0.1,100,0.5940110186739986,ElasticNet,Apul
FUN_012523_60372,39,5539274,100,5-fold,0.5605673411496379,0.19593905184414892,0.8562108548699768,0.057748644218086065,0.4881102235422461,0.7,93,0.8562108548699768,ElasticNet,Apul
FUN_008642_42446,39,5539274,100,5-fold,0.5192003030617391,0.16774602179068526,0.6143701880339753,0.17106603791850508,3.336845421395252,0.5,92,0.6143701880339753,ElasticNet,Apul
FUN_007120_34720,39,5539274,100,5-fold,0.42822513016680663,0.28894686112743173,0.2946354266754224,0.42962500053618513,2.693454907748137,0.95,66,0.42822513016680663,RF,Apul
FUN_028042_128032,39,5539274,100,5-fold,0.6904755619044005,0.08209295355161128,0.7806563340717908,0.1000321346297101,2.3726748323428994,0.5,93,0.7806563340717908,ElasticNet,Apul
FUN_008418_40799,39,5539274,100,5-fold,0.38538032267866845,0.37351781072601775,0.7144548575140715,0.15094503194141803,1.765556663480809,0.5,95,0.7144548575140715,ElasticNet,Apul
FUN_001325_6835,39,5539274,100,5-fold,0.6411254911781179,0.1697675069338325,0.7527406080233131,0.12543924007661392,2.3230341735933924,0.5,93,0.7527406080233131,ElasticNet,Apul
FUN_035840_165878,39,5539274,100,5-fold,0.3604448603362672,0.3549931731527957,0.5138589708773962,0.2339559185078884,0.3232626583747075,0.99,54,0.5138589708773962,ElasticNet,Apul
FUN_011051_52839,39,5539274,100,5-fold,-0.8223597307891175,2.4811919476616247,-0.24370561729496387,1.413238102774924,16.63788037032478,0.99,30,-0.24370561729496387,ElasticNet,Apul
FUN_004021_17256,39,5539274,100,5-fold,-0.643315717628193,2.191860179242424,-2.243382941720243,5.2494534855154695,0.7335498378232823,0.99,47,-0.643315717628193,RF,Apul
FUN_012684_61408,39,5539274,100,5-fold,0.31246300101181934,0.657414556154758,0.456740405053496,0.45034476941213136,2.5833188066583923,0.5,88,0.456740405053496,ElasticNet,Apul
FUN_026024_119331,39,5539274,100,5-fold,0.49665858961255954,0.16932443753904478,0.817179525179306,0.10890559041331407,0.7248782667473328,0.5,97,0.817179525179306,ElasticNet,Apul
FUN_029045_133215,39,5539274,100,5-fold,0.17387923836195615,0.7686043233645371,0.3839606515224513,0.4727056937300961,0.5271054018320612,0.7,94,0.3839606515224513,ElasticNet,Apul
FUN_015384_74299,39,5539274,100,5-fold,-1.0340789474280205,2.5980991309037944,-3.4092525403100566,6.839379450217445,2.2200144747423054,0.5,94,-1.0340789474280205,RF,Apul
FUN_032378_147941,39,5539274,100,5-fold,0.4924883024993842,0.2849661971580091,0.6587702400789641,0.15977536832223183,1.2821032385146647,0.5,98,0.6587702400789641,ElasticNet,Apul
FUN_023551_105897,39,5539274,100,5-fold,0.4036380491012352,0.4772557536905405,0.6441560864528041,0.1236023596730122,3.037236905036896,0.5,92,0.6441560864528041,ElasticNet,Apul
FUN_009514_47036,39,5539274,100,5-fold,0.6526618992269867,0.12211766496863831,0.7293576109487911,0.12998274071756177,3.2378106961265742,0.1,98,0.7293576109487911,ElasticNet,Apul
FUN_000275_1099,39,5539274,100,5-fold,0.49312514651203126,0.31238999828012654,0.7751833929890121,0.11160051179222669,0.7377987749208985,0.5,92,0.7751833929890121,ElasticNet,Apul
FUN_031072_140560,39,5539274,100,5-fold,0.5111833624526496,0.25991921266692564,0.7759644814178586,0.09551648326230858,5.240777695332447,0.9,66,0.7759644814178586,ElasticNet,Apul
FUN_025984_118724,39,5539274,100,5-fold,0.6638849289514833,0.04530231182397255,0.7756414940037836,0.1539761220600796,0.6356470452640085,0.5,99,0.7756414940037836,ElasticNet,Apul
FUN_014442_67591,39,5539274,100,5-fold,0.5617402072612784,0.17782065682122672,0.5651976267688175,0.17695114124227573,21.053613666716995,0.99,24,0.5651976267688175,ElasticNet,Apul
FUN_009308_45966,39,5539274,100,5-fold,0.4969160641052631,0.2511663826056608,0.7523829756550778,0.07599335278723826,0.41782361069415014,0.9,77,0.7523829756550778,ElasticNet,Apul
FUN_035843_165891,39,5539274,100,5-fold,0.4820223996566977,0.23156886224897896,0.6634328503895721,0.1826685564954434,3.3974331381537737,0.1,100,0.6634328503895721,ElasticNet,Apul
FUN_034673_158790,39,5539274,100,5-fold,0.4968577617828441,0.28426465752138097,0.3495730475059822,0.28530548029069763,3.0942969139454233,0.5,91,0.4968577617828441,RF,Apul
FUN_005366_26211,39,5539274,100,5-fold,0.5038403924780052,0.36702420667445274,0.5098105024304889,0.39977679153368584,16.896610433443705,0.99,22,0.5098105024304889,ElasticNet,Apul
FUN_001325_6833,39,5539274,100,5-fold,0.5257601454429955,0.10493752853063565,0.7699934356358533,0.057935627013428206,0.6666544184949964,0.5,99,0.7699934356358533,ElasticNet,Apul
FUN_023551_105898,39,5539274,100,5-fold,0.41258883554069126,0.4356356655689112,0.5953007305911271,0.12149815492232922,2.2215082905257177,0.5,94,0.5953007305911271,ElasticNet,Apul
FUN_022429_98124,39,5539274,100,5-fold,0.507536330911915,0.21403428430646598,0.6933945385938275,0.17033212958189342,0.47235827957568177,0.7,89,0.6933945385938275,ElasticNet,Apul
FUN_012237_58469,39,5539274,100,5-fold,0.5367862395297308,0.3056144890306869,0.7303904176864379,0.17478114292989483,0.7110755824828169,0.5,95,0.7303904176864379,ElasticNet,Apul
FUN_002697_13534,39,5539274,100,5-fold,0.6304376557897517,0.14933561260018452,0.891484939155589,0.07192780626618234,0.7532364496933937,0.5,94,0.891484939155589,ElasticNet,Apul
FUN_001532_8301,39,5539274,100,5-fold,-0.5982328969604765,1.7946050751909302,-0.3998878487381464,1.5961359771317976,21.03583600335029,0.99,31,-0.3998878487381464,ElasticNet,Apul
FUN_013464_64504,39,5539274,100,5-fold,-0.24127676010465962,1.5268466083648404,-0.3486528876775994,1.6966238717341047,7.115610980728455,0.99,36,-0.24127676010465962,RF,Apul
FUN_010825_51554,39,5539274,100,5-fold,-0.5226710533873528,1.4071698246347932,-0.10094469316859593,0.6735597943824474,17.846299985406418,0.1,97,-0.10094469316859593,ElasticNet,Apul
FUN_028452_130539,39,5539274,100,5-fold,-5.974332785002813,12.308893135859252,-3.8870635396819417,8.420213956538538,20.784863347302363,0.1,99,-3.8870635396819417,ElasticNet,Apul
FUN_037545_174274,39,5539274,100,5-fold,-1.5188106837318753,3.39963605191747,-18.024523911891556,36.538233056034514,0.7202409346771668,0.5,96,-1.5188106837318753,RF,Apul
