feature,id,pval,qval
exon,119942,1.2794210135780304e-12,2.493130963898693e-7
exon,15857,8.734679646238419e-12,3.7775996517552814e-7
exon,15858,8.79651906871004e-12,3.7775996517552814e-7
exon,151166,6.6353589289747106e-12,3.7775996517552814e-7
exon,178779,9.692913138792392e-12,3.7775996517552814e-7
exon,15859,2.363609308275727e-11,4.552179023475079e-7
exon,31558,2.1638024705339376e-11,4.552179023475079e-7
exon,60457,3.027000872179997e-11,4.552179023475079e-7
exon,60458,2.9369617848828966e-11,4.552179023475079e-7
exon,62238,2.743716365216642e-11,4.552179023475079e-7
exon,63989,1.8961276992968124e-11,4.552179023475079e-7
exon,146885,3.036904061559653e-11,4.552179023475079e-7
exon,146886,1.921574011021221e-11,4.552179023475079e-7
exon,5798,6.002998098608714e-11,5.053590335965951e-7
exon,5799,6.468436897222318e-11,5.053590335965951e-7
exon,6232,7.655531764072521e-11,5.053590335965951e-7
exon,50599,4.455658064728141e-11,5.053590335965951e-7
exon,60454,7.956313385903968e-11,5.053590335965951e-7
exon,60455,3.7983394207685706e-11,5.053590335965951e-7
exon,63988,6.582501210772307e-11,5.053590335965951e-7
exon,64877,7.817058111925235e-11,5.053590335965951e-7
exon,64878,8.316314303868921e-11,5.053590335965951e-7
exon,71741,5.592437624102331e-11,5.053590335965951e-7
exon,71742,6.231726246141989e-11,5.053590335965951e-7
exon,83659,3.8956060599559805e-11,5.053590335965951e-7
exon,100221,5.225531118924209e-11,5.053590335965951e-7
exon,119415,7.252587419515066e-11,5.053590335965951e-7
exon,127752,5.85562709431997e-11,5.053590335965951e-7
exon,127754,8.558198594244004e-11,5.053590335965951e-7
exon,134083,5.730227403688559e-11,5.053590335965951e-7
exon,146884,8.391909389615648e-11,5.053590335965951e-7
exon,178780,8.108880233947957e-11,5.053590335965951e-7
exon,207416,7.577027894001276e-11,5.053590335965951e-7
exon,15860,9.51517753478015e-11,5.150459875381664e-7
exon,127753,9.084022423166971e-11,5.150459875381664e-7
exon,127755,9.471934347971e-11,5.150459875381664e-7
exon,181554,1.0028811114892733e-10,5.281768240790427e-7
exon,49632,1.1308887160055292e-10,5.799197335676354e-7
exon,60456,1.1974110591950193e-10,5.97977699667851e-7
exon,179685,1.2274770089248932e-10,5.97977699667851e-7
exon,15856,1.3160084133545524e-10,6.105777701426703e-7
exon,206272,1.2917356073671726e-10,6.105777701426703e-7
exon,64876,1.3763146178291663e-10,6.237073760201458e-7
exon,5797,1.4548118265622634e-10,6.442964812982476e-7
exon,15855,1.677800121058226e-10,7.265396506442004e-7
exon,80019,1.7339818469963575e-10,7.345448665936917e-7
exon,41808,1.8599810580610665e-10,7.396803038734932e-7
exon,64875,1.7845869226817968e-10,7.396803038734932e-7
exon,64880,1.8315349237241207e-10,7.396803038734932e-7
exon,34031,2.0930257527140839e-10,8.157107405537545e-7
exon,23128,2.139292076819288e-10,8.17394139720223e-7
exon,505,2.36830999256199e-10,8.4467978793286e-7
exon,119951,2.32944996625406e-10,8.4467978793286e-7
exon,179686,2.384092923080061e-10,8.4467978793286e-7
exon,207412,2.355748929261381e-10,8.4467978793286e-7
exon,146889,2.451238101386366e-10,8.529608239081301e-7
exon,60453,2.4986135382931707e-10,8.541926816244919e-7
exon,43744,2.5577739926063714e-10,8.593415022331861e-7
exon,156933,2.6180613232895666e-10,8.646879689855901e-7
exon,176643,2.668849585774069e-10,8.667711761371302e-7
exon,39730,2.7940627589373435e-10,8.925610581271582e-7
exon,62237,2.8792923600917675e-10,8.999672843570817e-7
exon,146887,2.9096158815633544e-10,8.999672843570817e-7
exon,97712,2.967002199483204e-10,9.033779946876486e-7
exon,60447,3.0983404730733355e-10,9.071303710771296e-7
exon,60448,3.165211426292558e-10,9.071303710771296e-7
exon,60452,3.2120861526152567e-10,9.071303710771296e-7
exon,64874,3.052214037069234e-10,9.071303710771296e-7
exon,119941,3.198605824650258e-10,9.071303710771296e-7
exon,34027,3.343127996657813e-10,9.190010071413887e-7
exon,115394,3.442763851779773e-10,9.190010071413887e-7
exon,118518,3.3573699376177046e-10,9.190010071413887e-7
exon,119943,3.4366354206838423e-10,9.190010071413887e-7
exon,68816,3.6900527078387313e-10,9.717005822436305e-7
exon,53515,3.7503378180758773e-10,9.744077714420503e-7
exon,5682,3.870568310304634e-10,9.80105300941184e-7
exon,5683,3.889615296515103e-10,9.80105300941184e-7
exon,39731,3.9231573545350784e-10,9.80105300941184e-7
exon,127756,4.062910008428844e-10,1.002170754281618e-6
exon,146883,4.2785885945306745e-10,1.0421786098557817e-6
exon,5800,4.4510239938233553e-10,1.0707954809041906e-6
exon,38418,4.763399674700963e-10,1.121768180802949e-6
exon,119952,4.778037965280646e-10,1.121768180802949e-6
exon,6231,5.145671666539897e-10,1.1277410720822445e-6
exon,50598,5.49795764470673e-10,1.1277410720822445e-6
exon,56741,5.374147793446582e-10,1.1277410720822445e-6
exon,58480,5.048390594453167e-10,1.1277410720822445e-6
exon,64873,4.932388941725208e-10,1.1277410720822445e-6
exon,64881,4.913316420385172e-10,1.1277410720822445e-6
exon,71740,5.25953058883033e-10,1.1277410720822445e-6
exon,177522,5.404969805056226e-10,1.1277410720822445e-6
exon,179684,5.312604800522536e-10,1.1277410720822445e-6
exon,183054,5.163751648495918e-10,1.1277410720822445e-6
exon,206273,5.303464334360797e-10,1.1277410720822445e-6
exon,207415,5.494251720250531e-10,1.1277410720822445e-6
exon,179568,5.690605764385737e-10,1.155098126740898e-6
exon,198113,6.007421227138821e-10,1.2068351855723496e-6
exon,119945,6.28161411775352e-10,1.2490412790223692e-6
exon,31557,6.483313885752295e-10,1.2687056734644711e-6
exon,106497,6.575830990840359e-10,1.2687056734644711e-6
exon,167507,6.5711935892665e-10,1.2687056734644711e-6
exon,83472,6.887771464292314e-10,1.3158614692331935e-6
exon,64879,6.999778534577672e-10,1.324276547924217e-6
exon,181555,7.068534646492708e-10,1.3244258993789952e-6
exon,19103,7.746809860265103e-10,1.4241267515195272e-6
exon,23466,7.742317897907469e-10,1.4241267515195272e-6
exon,108982,8.153414610134746e-10,1.4443699859902702e-6
exon,118520,8.090188519105368e-10,1.4443699859902702e-6
exon,119947,7.978642191375229e-10,1.4443699859902702e-6
exon,207411,8.086069591684009e-10,1.4443699859902702e-6
exon,119944,8.368425952198777e-10,1.455986566740413e-6
exon,179679,8.357352587751166e-10,1.455986566740413e-6
exon,139539,8.55350235084984e-10,1.4750174177840737e-6
exon,60451,8.744045487674157e-10,1.4946488420264359e-6
exon,38419,8.908881410363279e-10,1.5095828409991566e-6
exon,20486,9.079748064522164e-10,1.5252724369353853e-6
exon,49631,9.583088766973447e-10,1.5456216192174825e-6
exon,49633,9.597473926703515e-10,1.5456216192174825e-6
exon,167943,9.461382788344963e-10,1.5456216192174825e-6
exon,197536,9.408527290588609e-10,1.5456216192174825e-6
exon,207414,9.510082721320146e-10,1.5456216192174825e-6
exon,106492,9.685450219620861e-10,1.5470045668821308e-6
exon,5688,9.92323112569693e-10,1.5720979756730133e-6
exon,41811,1.006566607841819e-9,1.581033409166821e-6
exon,146888,1.014190287307315e-9,1.581033409166821e-6
exon,12340,1.0700573760402676e-9,1.6290285978493024e-6
exon,60459,1.0667322580815153e-9,1.6290285978493024e-6
exon,181052,1.0591302279649994e-9,1.6290285978493024e-6
exon,80257,1.0785237147814541e-9,1.6291894973424287e-6
exon,506,1.0938794314796496e-9,1.6396747810450033e-6
exon,177257,1.146059913637032e-9,1.7047772443585236e-6
exon,183053,1.18137077897984e-9,1.7439896626903602e-6
exon,50600,1.2105392244166069e-9,1.7603769807964005e-6
exon,60449,1.208821043263697e-9,1.7603769807964005e-6
exon,173752,1.222931089728263e-9,1.7652240286578388e-6
exon,5796,1.2458833964501537e-9,1.785131045337226e-6
exon,9681,1.2974366025986228e-9,1.8454283659034894e-6
exon,182783,1.3175722735070394e-9,1.8604884311933023e-6
exon,197537,1.368404500823317e-9,1.918365285240538e-6
exon,129729,1.39137945609491e-9,1.9229061442019755e-6
exon,141034,1.3858439951164314e-9,1.9229061442019755e-6
exon,83658,1.4209020626765323e-9,1.9362423744153832e-6
exon,159971,1.4181831264892253e-9,1.9362423744153832e-6
exon,39345,1.478763889117829e-9,2.001096156174004e-6
exon,83471,1.5139942632913517e-9,2.034641228427627e-6
exon,5689,1.5851896462137915e-9,2.0711241149480043e-6
exon,5690,1.576867303398899e-9,2.0711241149480043e-6
exon,12337,1.60491286926856e-9,2.0711241149480043e-6
exon,12339,1.6044250372715396e-9,2.0711241149480043e-6
exon,62239,1.58363189228794e-9,2.0711241149480043e-6
exon,127751,1.5728754965138592e-9,2.0711241149480043e-6
exon,199166,1.6723789020289814e-9,2.143989752401154e-6
exon,7053,1.7037228294825013e-9,2.1558067885992087e-6
exon,60450,1.7018957354508757e-9,2.1558067885992087e-6
exon,207413,1.7517678418954574e-9,2.2022999273749446e-6
exon,176644,1.8074985952409861e-9,2.2577974760451252e-6
exon,110175,1.8332397822007351e-9,2.260964790625089e-6
exon,118519,1.8302028781391755e-9,2.260964790625089e-6
exon,5684,1.8895098818916267e-9,2.315707255502704e-6
exon,25821,2.0336635708773088e-9,2.4767988629714744e-6
exon,34030,2.1079225032138993e-9,2.5512932339520082e-6
exon,6233,2.1477113421042304e-9,2.5834050800481406e-6
exon,38421,2.2198844984444577e-9,2.622218206482785e-6
exon,52209,2.220348571668751e-9,2.622218206482785e-6
exon,167985,2.2150479228599806e-9,2.622218206482785e-6
exon,176654,2.252667830049404e-9,2.6443606267153436e-6
exon,141028,2.273263466356923e-9,2.6525581563363797e-6
exon,109209,2.3062645126969983e-9,2.6750471904892137e-6
exon,97938,2.3861319586870877e-9,2.7513089822343236e-6
exon,154150,2.4508521878630063e-9,2.8093109455043346e-6
exon,80258,2.509186192156676e-9,2.8353420269002986e-6
exon,159970,2.5317632434962434e-9,2.8353420269002986e-6
exon,177256,2.5009958548594113e-9,2.8353420269002986e-6
exon,184119,2.524253250868469e-9,2.8353420269002986e-6
exon,34025,2.547091870752638e-9,2.8362086302990977e-6
exon,22671,2.6150415166625862e-9,2.8789686446493686e-6
exon,119949,2.6086732773933363e-9,2.8789686446493686e-6
exon,76700,2.6512118056487566e-9,2.886895706804498e-6
exon,160423,2.665982545835277e-9,2.886895706804498e-6
exon,167506,2.6666866492774943e-9,2.886895706804498e-6
exon,43743,2.723512748659118e-9,2.9321247969873503e-6
exon,159972,2.780208729902256e-9,2.9767175491410617e-6
exon,119950,2.8518281069978e-9,3.010269292003398e-6
exon,140081,2.8578897026676486e-9,3.010269292003398e-6
