species,gene_id,n_timepoints,min_consensus,mean_consensus,all_high_consensus,n_distinct_consensus,consensus_by_tp,tp1_exon,tp2_exon,tp3_exon,tp4_exon,shift_category
Acropora pulchra,FUN_000052,2,1,1,TRUE,2,TP1:193; TP4:194,193,NA,NA,194,Timepoint-Coordinated
Acropora pulchra,FUN_000083,3,1,1,TRUE,2,TP1:256; TP2:257; TP3:257,256,257,257,NA,Timepoint-Coordinated
Acropora pulchra,FUN_000089,2,1,1,TRUE,2,TP1:268; TP2:269,268,269,NA,NA,Timepoint-Coordinated
Acropora pulchra,FUN_000093,2,1,1,TRUE,2,TP2:277; TP3:276,NA,277,276,NA,Timepoint-Coordinated
Acropora pulchra,FUN_000097,3,1,1,TRUE,2,TP1:284; TP2:285; TP3:284,284,285,284,NA,Timepoint-Coordinated
Acropora pulchra,FUN_000099,2,1,1,TRUE,2,TP1:288; TP2:289,288,289,NA,NA,Timepoint-Coordinated
Acropora pulchra,FUN_000118,4,1,1,TRUE,2,TP1:327; TP2:327; TP3:327; TP4:328,327,327,327,328,Timepoint-Coordinated
Acropora pulchra,FUN_000147,4,1,1,TRUE,2,TP1:383; TP2:384; TP3:383; TP4:384,383,384,383,384,Timepoint-Coordinated
Acropora pulchra,FUN_000160,2,1,1,TRUE,2,TP1:409; TP3:410,409,NA,410,NA,Timepoint-Coordinated
Acropora pulchra,FUN_000168,4,1,1,TRUE,2,TP1:425; TP2:425; TP3:425; TP4:426,425,425,425,426,Timepoint-Coordinated
Acropora pulchra,FUN_000178,4,1,1,TRUE,2,TP1:445; TP2:446; TP3:445; TP4:446,445,446,445,446,Timepoint-Coordinated
Acropora pulchra,FUN_000183,2,1,1,TRUE,2,TP2:455; TP3:454,NA,455,454,NA,Timepoint-Coordinated
Acropora pulchra,FUN_000186,4,0.7,0.85,TRUE,2,TP1:488; TP2:487; TP3:487; TP4:488,488,487,487,488,Timepoint-Coordinated
Acropora pulchra,FUN_000191,4,0.7,0.7,TRUE,3,TP1:513; TP2:511; TP3:512; TP4:513,513,511,512,513,Timepoint-Coordinated
Acropora pulchra,FUN_000201,4,0.7,0.7,TRUE,2,TP1:582; TP2:583; TP3:583; TP4:582,582,583,583,582,Timepoint-Coordinated
Acropora pulchra,FUN_000231,4,0.7,0.725,TRUE,2,TP1:842; TP2:841; TP3:841; TP4:842,842,841,841,842,Timepoint-Coordinated
Acropora pulchra,FUN_000233,4,0.7,0.725,TRUE,2,TP1:885; TP2:884; TP3:885; TP4:885,885,884,885,885,Timepoint-Coordinated
Acropora pulchra,FUN_000240,4,0.7,0.7749999999999999,TRUE,2,TP1:935; TP2:934; TP3:935; TP4:935,935,934,935,935,Timepoint-Coordinated
Acropora pulchra,FUN_000398,4,0.7,0.825,TRUE,2,TP1:1842; TP2:1840; TP3:1842; TP4:1842,1842,1840,1842,1842,Timepoint-Coordinated
Acropora pulchra,FUN_000452,4,1,1,TRUE,2,TP1:2203; TP2:2202; TP3:2203; TP4:2203,2203,2202,2203,2203,Timepoint-Coordinated
Acropora pulchra,FUN_000479,4,1,1,TRUE,2,TP1:2381; TP2:2381; TP3:2381; TP4:2384,2381,2381,2381,2384,Timepoint-Coordinated
Acropora pulchra,FUN_000555,3,0.8,0.9333333333333333,TRUE,2,TP1:2797; TP3:2798; TP4:2797,2797,NA,2798,2797,Timepoint-Coordinated
Acropora pulchra,FUN_000929,4,0.7,0.75,TRUE,2,TP1:4029; TP2:4028; TP3:4029; TP4:4029,4029,4028,4029,4029,Timepoint-Coordinated
Acropora pulchra,FUN_000941,2,1,1,TRUE,2,TP2:4104; TP3:4107,NA,4104,4107,NA,Timepoint-Coordinated
Acropora pulchra,FUN_000975,3,1,1,TRUE,2,TP2:4295; TP3:4295; TP4:4296,NA,4295,4295,4296,Timepoint-Coordinated
Acropora pulchra,FUN_000996,4,0.7,0.7972222222222223,TRUE,2,TP1:4431; TP2:4432; TP3:4431; TP4:4431,4431,4432,4431,4431,Timepoint-Coordinated
Acropora pulchra,FUN_001005,4,0.7,0.75,TRUE,2,TP1:4450; TP2:4451; TP3:4451; TP4:4451,4450,4451,4451,4451,Timepoint-Coordinated
Acropora pulchra,FUN_001099,3,1,1,TRUE,3,TP1:5215; TP2:5214; TP3:5208,5215,5214,5208,NA,Timepoint-Coordinated
Acropora pulchra,FUN_001118,4,0.7,0.8,TRUE,2,TP1:5400; TP2:5404; TP3:5400; TP4:5400,5400,5404,5400,5400,Timepoint-Coordinated
Acropora pulchra,FUN_001153,4,0.7,0.725,TRUE,2,TP1:5611; TP2:5610; TP3:5610; TP4:5611,5611,5610,5610,5611,Timepoint-Coordinated
Acropora pulchra,FUN_001253,4,1,1,TRUE,3,TP1:6430; TP2:6431; TP3:6432; TP4:6432,6430,6431,6432,6432,Timepoint-Coordinated
Acropora pulchra,FUN_001374,2,1,1,TRUE,2,TP2:7262; TP3:7263,NA,7262,7263,NA,Timepoint-Coordinated
Acropora pulchra,FUN_001495,3,1,1,TRUE,2,TP1:8039; TP3:8040; TP4:8039,8039,NA,8040,8039,Timepoint-Coordinated
Acropora pulchra,FUN_001497,4,0.7,0.8,TRUE,2,TP1:8043; TP2:8044; TP3:8044; TP4:8043,8043,8044,8044,8043,Timepoint-Coordinated
Acropora pulchra,FUN_001511,4,0.8,0.95,TRUE,2,TP1:8121; TP2:8121; TP3:8121; TP4:8122,8121,8121,8121,8122,Timepoint-Coordinated
Acropora pulchra,FUN_001567,2,1,1,TRUE,2,TP1:8565; TP3:8564,8565,NA,8564,NA,Timepoint-Coordinated
Acropora pulchra,FUN_001593,4,0.7,0.825,TRUE,2,TP1:8765; TP2:8754; TP3:8765; TP4:8765,8765,8754,8765,8765,Timepoint-Coordinated
Acropora pulchra,FUN_001614,4,0.7142857142857143,0.8160714285714286,TRUE,2,TP1:8915; TP2:8913; TP3:8913; TP4:8915,8915,8913,8913,8915,Timepoint-Coordinated
Acropora pulchra,FUN_001669,2,1,1,TRUE,2,TP2:9305; TP3:9304,NA,9305,9304,NA,Timepoint-Coordinated
Acropora pulchra,FUN_001680,2,1,1,TRUE,2,TP2:9348; TP3:9347,NA,9348,9347,NA,Timepoint-Coordinated
Acropora pulchra,FUN_001757,2,1,1,TRUE,2,TP2:9641; TP3:9642,NA,9641,9642,NA,Timepoint-Coordinated
Acropora pulchra,FUN_001834,4,0.7142857142857143,0.8473214285714286,TRUE,2,TP1:10011; TP2:10011; TP3:10011; TP4:10012,10011,10011,10011,10012,Timepoint-Coordinated
Acropora pulchra,FUN_001876,3,1,1,TRUE,2,TP1:10243; TP2:10242; TP4:10242,10243,10242,NA,10242,Timepoint-Coordinated
Acropora pulchra,FUN_001892,2,1,1,TRUE,2,TP1:10366; TP2:10365,10366,10365,NA,NA,Timepoint-Coordinated
Acropora pulchra,FUN_001930,3,1,1,TRUE,2,TP1:10523; TP3:10522; TP4:10523,10523,NA,10522,10523,Timepoint-Coordinated
Acropora pulchra,FUN_001938,3,1,1,TRUE,2,TP1:10547; TP2:10548; TP3:10547,10547,10548,10547,NA,Timepoint-Coordinated
Acropora pulchra,FUN_001951,2,1,1,TRUE,2,TP2:10657; TP3:10658,NA,10657,10658,NA,Timepoint-Coordinated
Acropora pulchra,FUN_001977,2,1,1,TRUE,2,TP2:10761; TP3:10760,NA,10761,10760,NA,Timepoint-Coordinated
Acropora pulchra,FUN_001985,3,0.75,0.9166666666666666,TRUE,2,TP2:10777; TP3:10776; TP4:10776,NA,10777,10776,10776,Timepoint-Coordinated
Acropora pulchra,FUN_002010,2,1,1,TRUE,2,TP1:10844; TP3:10843,10844,NA,10843,NA,Timepoint-Coordinated
Acropora pulchra,FUN_002020,2,1,1,TRUE,2,TP1:10869; TP2:10868,10869,10868,NA,NA,Timepoint-Coordinated
Acropora pulchra,FUN_002023,3,1,1,TRUE,2,TP1:10878; TP2:10876; TP3:10878,10878,10876,10878,NA,Timepoint-Coordinated
Acropora pulchra,FUN_002055,4,0.75,0.9375,TRUE,2,TP1:10980; TP2:10979; TP3:10980; TP4:10980,10980,10979,10980,10980,Timepoint-Coordinated
Acropora pulchra,FUN_002101,4,1,1,TRUE,2,TP1:11102; TP2:11101; TP3:11102; TP4:11102,11102,11101,11102,11102,Timepoint-Coordinated
Acropora pulchra,FUN_002127,4,0.7142857142857143,0.8160714285714286,TRUE,2,TP1:11209; TP2:11209; TP3:11209; TP4:11210,11209,11209,11209,11210,Timepoint-Coordinated
Acropora pulchra,FUN_002142,2,1,1,TRUE,2,TP1:11243; TP3:11245,11243,NA,11245,NA,Timepoint-Coordinated
Acropora pulchra,FUN_002273,3,1,1,TRUE,2,TP1:11544; TP2:11545; TP3:11545,11544,11545,11545,NA,Timepoint-Coordinated
Acropora pulchra,FUN_002282,4,1,1,TRUE,2,TP1:11561; TP2:11561; TP3:11562; TP4:11561,11561,11561,11562,11561,Timepoint-Coordinated
Acropora pulchra,FUN_002298,4,1,1,TRUE,2,TP1:11592; TP2:11591; TP3:11592; TP4:11592,11592,11591,11592,11592,Timepoint-Coordinated
Acropora pulchra,FUN_002361,3,1,1,TRUE,2,TP1:11914; TP2:11914; TP3:11913,11914,11914,11913,NA,Timepoint-Coordinated
Acropora pulchra,FUN_002384,3,1,1,TRUE,2,TP1:12019; TP3:12020; TP4:12019,12019,NA,12020,12019,Timepoint-Coordinated
Acropora pulchra,FUN_002686,4,1,1,TRUE,2,TP1:13487; TP2:13487; TP3:13485; TP4:13485,13487,13487,13485,13485,Timepoint-Coordinated
Acropora pulchra,FUN_002687,2,1,1,TRUE,2,TP1:13489; TP3:13488,13489,NA,13488,NA,Timepoint-Coordinated
Acropora pulchra,FUN_002721,4,0.7,0.775,TRUE,2,TP1:13616; TP2:13615; TP3:13616; TP4:13616,13616,13615,13616,13616,Timepoint-Coordinated
Acropora pulchra,FUN_002740,4,1,1,TRUE,2,TP1:13706; TP2:13705; TP3:13705; TP4:13705,13706,13705,13705,13705,Timepoint-Coordinated
Acropora pulchra,FUN_002815,4,1,1,TRUE,2,TP1:14001; TP2:14001; TP3:14001; TP4:14002,14001,14001,14001,14002,Timepoint-Coordinated
Acropora pulchra,FUN_002816,3,1,1,TRUE,2,TP1:14003; TP3:14004; TP4:14004,14003,NA,14004,14004,Timepoint-Coordinated
Acropora pulchra,FUN_002829,4,1,1,TRUE,2,TP1:14044; TP2:14045; TP3:14045; TP4:14045,14044,14045,14045,14045,Timepoint-Coordinated
Acropora pulchra,FUN_002847,4,1,1,TRUE,2,TP1:14084; TP2:14084; TP3:14083; TP4:14084,14084,14084,14083,14084,Timepoint-Coordinated
Acropora pulchra,FUN_002855,4,1,1,TRUE,2,TP1:14102; TP2:14102; TP3:14102; TP4:14103,14102,14102,14102,14103,Timepoint-Coordinated
Acropora pulchra,FUN_003135,4,1,1,TRUE,2,TP1:14558; TP2:14557; TP3:14558; TP4:14558,14558,14557,14558,14558,Timepoint-Coordinated
Acropora pulchra,FUN_003137,2,1,1,TRUE,2,TP2:14563; TP4:14564,NA,14563,NA,14564,Timepoint-Coordinated
Acropora pulchra,FUN_003138,4,1,1,TRUE,2,TP1:14565; TP2:14565; TP3:14565; TP4:14566,14565,14565,14565,14566,Timepoint-Coordinated
Acropora pulchra,FUN_003198,4,1,1,TRUE,2,TP1:14680; TP2:14680; TP3:14679; TP4:14680,14680,14680,14679,14680,Timepoint-Coordinated
Acropora pulchra,FUN_003220,3,1,1,TRUE,2,TP1:14746; TP2:14745; TP4:14745,14746,14745,NA,14745,Timepoint-Coordinated
Acropora pulchra,FUN_003221,4,0.75,0.9375,TRUE,2,TP1:14748; TP2:14747; TP3:14747; TP4:14747,14748,14747,14747,14747,Timepoint-Coordinated
Acropora pulchra,FUN_003358,2,1,1,TRUE,2,TP1:14918; TP3:14919,14918,NA,14919,NA,Timepoint-Coordinated
Acropora pulchra,FUN_003363,3,1,1,TRUE,2,TP1:14927; TP2:14928; TP3:14928,14927,14928,14928,NA,Timepoint-Coordinated
Acropora pulchra,FUN_003406,3,1,1,TRUE,2,TP1:15039; TP3:15038; TP4:15038,15039,NA,15038,15038,Timepoint-Coordinated
Acropora pulchra,FUN_003418,2,1,1,TRUE,2,TP1:15072; TP3:15070,15072,NA,15070,NA,Timepoint-Coordinated
Acropora pulchra,FUN_003424,2,1,1,TRUE,2,TP2:15086; TP4:15087,NA,15086,NA,15087,Timepoint-Coordinated
Acropora pulchra,FUN_003456,2,1,1,TRUE,2,TP1:15185; TP2:15184,15185,15184,NA,NA,Timepoint-Coordinated
Acropora pulchra,FUN_003466,4,1,1,TRUE,2,TP1:15211; TP2:15211; TP3:15211; TP4:15210,15211,15211,15211,15210,Timepoint-Coordinated
Acropora pulchra,FUN_003518,3,1,1,TRUE,2,TP2:15355; TP3:15353; TP4:15355,NA,15355,15353,15355,Timepoint-Coordinated
Acropora pulchra,FUN_003601,4,1,1,TRUE,2,TP1:15593; TP2:15593; TP3:15593; TP4:15594,15593,15593,15593,15594,Timepoint-Coordinated
Acropora pulchra,FUN_003732,4,1,1,TRUE,2,TP1:15905; TP2:15906; TP3:15905; TP4:15906,15905,15906,15905,15906,Timepoint-Coordinated
Acropora pulchra,FUN_003747,2,1,1,TRUE,2,TP1:15934; TP2:15935,15934,15935,NA,NA,Timepoint-Coordinated
Acropora pulchra,FUN_003752,2,1,1,TRUE,2,TP1:15946; TP4:15945,15946,NA,NA,15945,Timepoint-Coordinated
Acropora pulchra,FUN_003755,3,1,1,TRUE,2,TP1:15951; TP3:15951; TP4:15952,15951,NA,15951,15952,Timepoint-Coordinated
Acropora pulchra,FUN_003777,2,1,1,TRUE,2,TP1:16008; TP3:16010,16008,NA,16010,NA,Timepoint-Coordinated
Acropora pulchra,FUN_003801,4,1,1,TRUE,2,TP1:16094; TP2:16095; TP3:16094; TP4:16094,16094,16095,16094,16094,Timepoint-Coordinated
Acropora pulchra,FUN_003807,4,1,1,TRUE,2,TP1:16110; TP2:16109; TP3:16110; TP4:16109,16110,16109,16110,16109,Timepoint-Coordinated
Acropora pulchra,FUN_003922,2,1,1,TRUE,2,TP3:16694; TP4:16693,NA,NA,16694,16693,Timepoint-Coordinated
Acropora pulchra,FUN_003962,4,1,1,TRUE,2,TP1:16869; TP2:16868; TP3:16869; TP4:16868,16869,16868,16869,16868,Timepoint-Coordinated
